epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1402.18,0.32113,0.08041,0.06645,0.31043,0.8883,0.9938,1,0.99497,0.95109,0.9938,1,0.99497,0.99445,0.28605,0.0451,0.02313,0.18474,0.83138,0.000359,0.000359,0.000359
74,1421.2,0.32672,0.0861,0.0719,0.31375,0.89299,0.99145,1,0.99494,0.95012,0.99145,1,0.99494,0.99362,0.29579,0.04369,0.03598,0.19021,0.83064,0.000346625,0.000346625,0.000346625
75,1440.19,0.32525,0.08005,0.07016,0.3088,0.88547,0.99708,0.99832,0.995,0.94917,0.99708,0.99832,0.995,0.99447,0.30317,0.04213,0.02045,0.19046,0.83163,0.00033425,0.00033425,0.00033425
76,1459.16,0.31673,0.07718,0.07723,0.29998,0.88144,0.99453,0.99213,0.99497,0.9492,0.99453,0.99213,0.99497,0.99422,0.2987,0.03704,0.02617,0.18755,0.83302,0.000321875,0.000321875,0.000321875
77,1478.14,0.31244,0.07461,0.06654,0.29589,0.88003,0.99681,0.9975,0.995,0.94992,0.99681,0.9975,0.995,0.99399,0.28167,0.03982,0.0312,0.18161,0.8291,0.0003095,0.0003095,0.0003095
78,1497.12,0.32791,0.08326,0.07142,0.30761,0.88998,0.9974,0.99978,0.995,0.94906,0.9974,0.99978,0.995,0.99398,0.28743,0.0442,0.03794,0.18085,0.83136,0.000297125,0.000297125,0.000297125
79,1516.12,0.31103,0.07732,0.06669,0.29638,0.87563,0.98105,0.99968,0.9949,0.95244,0.98105,0.99968,0.9949,0.99436,0.28138,0.03994,0.02288,0.18942,0.82952,0.00028475,0.00028475,0.00028475
80,1535.12,0.30653,0.07022,0.07261,0.29488,0.88222,0.99106,0.99638,0.99493,0.95062,0.99106,0.99638,0.99493,0.99417,0.27764,0.03724,0.02239,0.18557,0.82841,0.000272375,0.000272375,0.000272375
81,1554.09,0.2967,0.07233,0.0653,0.28934,0.87866,0.9949,0.99985,0.995,0.95274,0.9949,0.99985,0.995,0.99425,0.28206,0.03674,0.03014,0.17504,0.82744,0.00026,0.00026,0.00026
82,1573.12,0.30542,0.07092,0.06391,0.28857,0.88199,0.99174,1,0.99494,0.94842,0.99174,1,0.99494,0.99444,0.29228,0.03684,0.02787,0.17931,0.83162,0.000247625,0.000247625,0.000247625
83,1592.09,0.2958,0.06655,0.05988,0.28137,0.87411,0.99528,0.99909,0.995,0.95404,0.99528,0.99909,0.995,0.9945,0.27628,0.03634,0.01791,0.17498,0.82574,0.00023525,0.00023525,0.00023525
84,1611.1,0.30343,0.07372,0.06471,0.28742,0.87966,0.99548,0.99893,0.99497,0.95281,0.99548,0.99893,0.99497,0.99447,0.27833,0.03631,0.02464,0.17896,0.82728,0.000222875,0.000222875,0.000222875
85,1630.07,0.29704,0.07625,0.05359,0.28347,0.88017,0.99351,0.99928,0.99497,0.95234,0.99351,0.99928,0.99497,0.99447,0.27481,0.03502,0.01995,0.17417,0.82718,0.0002105,0.0002105,0.0002105
86,1649.05,0.28838,0.06763,0.05865,0.28257,0.87285,0.99541,0.997,0.995,0.95356,0.99541,0.997,0.995,0.99425,0.27022,0.03293,0.01545,0.16863,0.82624,0.000198125,0.000198125,0.000198125
87,1668.06,0.28898,0.06907,0.06411,0.27689,0.87441,0.99039,1,0.995,0.94686,0.99039,1,0.995,0.99424,0.27644,0.03619,0.02286,0.1705,0.83018,0.00018575,0.00018575,0.00018575
88,1687.05,0.29443,0.07291,0.05932,0.2848,0.87601,0.99574,0.99227,0.995,0.94779,0.99574,0.99227,0.995,0.99449,0.27511,0.03288,0.01904,0.17161,0.83018,0.000173375,0.000173375,0.000173375
89,1706.03,0.28508,0.0702,0.06077,0.28078,0.87379,0.99427,0.99958,0.995,0.95124,0.99427,0.99958,0.995,0.9945,0.27535,0.03217,0.01618,0.17335,0.82816,0.000161,0.000161,0.000161
90,1725,0.28685,0.06359,0.05555,0.28026,0.87826,0.99265,1,0.995,0.9502,0.99265,1,0.995,0.99424,0.27238,0.03205,0.0132,0.17092,0.82625,0.000148625,0.000148625,0.000148625
91,1751.37,0.1838,0.05356,0.04018,0.16942,0.78988,0.9937,0.99571,0.99496,0.94298,0.9937,0.99571,0.99496,0.99446,0.30147,0.04599,0.0094,0.18656,0.8362,0.00013625,0.00013625,0.00013625
92,1770.24,0.16734,0.03798,0.02841,0.16077,0.78809,0.99509,0.99581,0.99493,0.95032,0.99509,0.99581,0.99493,0.99442,0.27955,0.04595,0.01366,0.17354,0.8281,0.000123875,0.000123875,0.000123875
93,1789.03,0.16042,0.03875,0.02798,0.15623,0.78834,0.9953,0.99628,0.99496,0.95156,0.9953,0.99628,0.99496,0.99446,0.28004,0.03522,0.01776,0.17496,0.83064,0.0001115,0.0001115,0.0001115
94,1807.81,0.15944,0.03661,0.02449,0.15372,0.78671,0.9944,1,0.995,0.94948,0.9944,1,0.995,0.9945,0.27459,0.03323,0.02199,0.16414,0.82915,9.9125e-05,9.9125e-05,9.9125e-05
95,1826.58,0.15146,0.03691,0.02707,0.14498,0.7793,0.99746,0.99661,0.995,0.95297,0.99746,0.99661,0.995,0.9945,0.26748,0.03576,0.01555,0.16083,0.82995,8.675e-05,8.675e-05,8.675e-05
96,1845.35,0.15246,0.03344,0.03199,0.15023,0.7847,0.99482,0.99923,0.995,0.95204,0.99482,0.99923,0.995,0.9945,0.26376,0.03347,0.01433,0.16256,0.82753,7.4375e-05,7.4375e-05,7.4375e-05
97,1864.12,0.14919,0.03502,0.01975,0.14541,0.78903,0.99809,0.99718,0.995,0.95124,0.99809,0.99718,0.995,0.9945,0.26285,0.03153,0.01701,0.16121,0.82693,6.2e-05,6.2e-05,6.2e-05
98,1882.88,0.14984,0.03158,0.02428,0.14691,0.77931,0.99828,0.99611,0.995,0.95153,0.99828,0.99611,0.995,0.9945,0.2606,0.02971,0.00969,0.15968,0.82652,4.9625e-05,4.9625e-05,4.9625e-05
99,1901.64,0.14569,0.03034,0.02272,0.14393,0.78345,0.99752,0.99698,0.995,0.95255,0.99752,0.99698,0.995,0.9945,0.25978,0.02969,0.0151,0.15852,0.82592,3.725e-05,3.725e-05,3.725e-05
100,1920.4,0.14295,0.02963,0.01749,0.14197,0.78153,0.99753,0.99705,0.995,0.95347,0.99753,0.99705,0.995,0.9945,0.25865,0.02966,0.01932,0.1566,0.826,2.4875e-05,2.4875e-05,2.4875e-05
