epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,338.712,0.54729,0.1308,0.28604,0.50992,0.9263,0.95594,0.96889,0.99083,0.81128,0.95594,0.96889,0.99083,0.97987,0.75603,0.1113,0.05848,0.45576,0.95266,0.000297125,0.000297125,0.000297125
79,342.983,0.55114,0.13014,0.30267,0.48717,0.91679,0.94604,0.96825,0.98896,0.80714,0.94604,0.96825,0.98896,0.97829,0.762,0.10962,0.05903,0.45954,0.95418,0.00028475,0.00028475,0.00028475
80,347.25,0.55687,0.13686,0.29428,0.51012,0.92244,0.96688,0.925,0.97792,0.81292,0.96688,0.925,0.97792,0.96813,0.76086,0.09881,0.05608,0.47931,0.95305,0.000272375,0.000272375,0.000272375
81,351.532,0.54392,0.12163,0.26852,0.50328,0.90598,0.95452,0.96475,0.98736,0.81871,0.95452,0.96475,0.98736,0.97738,0.75271,0.10208,0.05888,0.46753,0.94849,0.00026,0.00026,0.00026
82,355.822,0.58279,0.12228,0.293,0.50446,0.95193,0.96342,0.97266,0.98896,0.79973,0.96342,0.97266,0.98896,0.97511,0.76892,0.11268,0.06659,0.44488,0.96048,0.000247625,0.000247625,0.000247625
83,360.077,0.5601,0.12743,0.27993,0.50171,0.93618,0.96088,0.975,0.98598,0.80954,0.96088,0.975,0.98598,0.97208,0.76771,0.11458,0.07193,0.45724,0.95995,0.00023525,0.00023525,0.00023525
84,364.346,0.54582,0.12837,0.27518,0.4945,0.91294,0.94243,0.92955,0.98292,0.8084,0.94243,0.92955,0.98292,0.97529,0.76024,0.11124,0.06587,0.47602,0.95816,0.000222875,0.000222875,0.000222875
85,368.555,0.54962,0.12795,0.29907,0.50896,0.92445,0.94915,0.95659,0.98187,0.80498,0.94915,0.95659,0.98187,0.97182,0.76358,0.11035,0.06322,0.45968,0.96426,0.0002105,0.0002105,0.0002105
86,372.771,0.53655,0.12172,0.26375,0.47954,0.89988,0.98929,0.96931,0.99083,0.80575,0.98929,0.96931,0.99083,0.98118,0.76927,0.10453,0.06006,0.45447,0.96513,0.000198125,0.000198125,0.000198125
87,377.036,0.5722,0.12908,0.28617,0.50039,0.94284,0.9449,0.99212,0.99045,0.81565,0.9449,0.99212,0.99045,0.98392,0.77178,0.09833,0.06454,0.44685,0.96277,0.00018575,0.00018575,0.00018575
88,381.312,0.52464,0.11828,0.27971,0.47584,0.90814,0.95731,1,0.99045,0.81062,0.95731,1,0.99045,0.97798,0.77053,0.10732,0.08048,0.43203,0.96091,0.000173375,0.000173375,0.000173375
89,385.574,0.52572,0.11517,0.2521,0.47222,0.91542,0.98752,0.98,0.995,0.80603,0.98752,0.98,0.995,0.98329,0.76945,0.11388,0.08784,0.4209,0.9573,0.000161,0.000161,0.000161
90,389.836,0.51408,0.12448,0.26711,0.47525,0.92258,0.98376,0.97093,0.99273,0.80842,0.98376,0.97093,0.99273,0.98281,0.77426,0.1188,0.0865,0.42132,0.95706,0.000148625,0.000148625,0.000148625
91,397.668,0.41814,0.11131,0.11775,0.44388,0.86386,0.9514,0.99488,0.995,0.79494,0.9514,0.99488,0.995,0.98464,0.79137,0.12118,0.08396,0.44614,0.97343,0.00013625,0.00013625,0.00013625
92,402.141,0.43892,0.11411,0.09975,0.43211,0.8502,0.94445,0.99571,0.995,0.79561,0.94445,0.99571,0.995,0.97765,0.79497,0.12928,0.07953,0.46108,0.98079,0.000123875,0.000123875,0.000123875
93,406.418,0.42342,0.0942,0.10589,0.41109,0.85736,0.93183,1,0.995,0.80613,0.93183,1,0.995,0.97657,0.7747,0.14159,0.07863,0.46563,0.96663,0.0001115,0.0001115,0.0001115
94,410.633,0.38643,0.09456,0.10689,0.39321,0.83642,0.97623,0.95336,0.995,0.80132,0.97623,0.95336,0.995,0.97606,0.76421,0.14647,0.08014,0.46958,0.9605,9.9125e-05,9.9125e-05,9.9125e-05
95,414.849,0.39825,0.07448,0.0856,0.38789,0.85866,0.99143,0.95568,0.995,0.80499,0.99143,0.95568,0.995,0.97664,0.77006,0.14754,0.08312,0.46752,0.96539,8.675e-05,8.675e-05,8.675e-05
96,419.064,0.38781,0.09219,0.10071,0.37218,0.84753,0.98979,0.95817,0.995,0.80739,0.98979,0.95817,0.995,0.97459,0.77986,0.14594,0.08827,0.45587,0.97431,7.4375e-05,7.4375e-05,7.4375e-05
97,423.252,0.39392,0.07464,0.11134,0.37293,0.84528,0.99015,0.96023,0.995,0.80401,0.99015,0.96023,0.995,0.96687,0.77653,0.13944,0.08679,0.43959,0.97241,6.2e-05,6.2e-05,6.2e-05
98,427.428,0.39319,0.07534,0.0842,0.37502,0.83814,0.99096,0.95953,0.995,0.80813,0.99096,0.95953,0.995,0.97188,0.76276,0.13481,0.08377,0.43012,0.96198,4.9625e-05,4.9625e-05,4.9625e-05
99,431.624,0.37119,0.07759,0.08606,0.34867,0.83911,0.99191,0.95818,0.995,0.81545,0.99191,0.95818,0.995,0.9794,0.75313,0.12735,0.07786,0.42534,0.95342,3.725e-05,3.725e-05,3.725e-05
100,435.835,0.37155,0.07845,0.08817,0.352,0.84551,0.99286,0.95723,0.995,0.81366,0.99286,0.95723,0.995,0.9794,0.7514,0.12119,0.07262,0.42468,0.95153,2.4875e-05,2.4875e-05,2.4875e-05
